ticker,date,model,aic,bic,mu,omega,alpha[1],beta[1],alpha,beta,gamma,external_scale,loglike,variable,effect,effect_type,center,scale,impute,clip_lo,clip_hi
MTRN,2022-12-31,arch1,5931.9142684945,5947.330869494336,0.038578965686001665,5.454043021204918,0.23143023456193085,,,,,,,,,,,,,,
MTRN,2022-12-31,garch11,5880.0706350192795,5900.626103019062,0.05302703041237532,1.2551714755180297,0.08516890333285437,0.7246645924074371,,,,,,,,,,,,,
MTRN,2022-12-31,garchx_market,,,,0.25149910437751605,,,1e-05,0.922830189243415,[np.float64(0.27056951842860494)],[np.float64(1.8408966833362834)],-1730.928120627545,,,,,,,,
MTRN,2022-12-31,garchx_industry,,,,0.2515327093756763,,,1e-05,0.9228224038776545,"[np.float64(0.2705888192873713), np.float64(0.0)]","[np.float64(1.8408966833362834), np.float64(5.020006323725397)]",-1730.9281204393405,,,,,,,,
MTRN,2022-12-31,garchx_business,,,,0.2184079476936913,,,1e-05,0.8986741603810515,"[np.float64(0.3254977147983084), np.float64(0.0), np.float64(0.14258272574584072)]","[np.float64(1.8408966833362834), np.float64(5.020006323725397), np.float64(2.127408855514337)]",-1724.6379115256575,,,,,,,,
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,market_return,-0.0004417270387163684,coefficient per training SD in target units,0.010742675500456881,0.04480875402304458,0.0178144970166732,-0.09795811668531251,0.11187195306985491
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,market_vol,0.003375287147701504,coefficient per training SD in target units,0.009412065913870062,0.005422578276526845,0.007853493467209951,0.00311201699798934,0.03072600925176676
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,smallcap_return,-0.00023673688306079927,coefficient per training SD in target units,0.00887244421003113,0.056327569783477555,0.015220387364610899,-0.13587982956162895,0.14595050218980538
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,yield_10y,-0.0006659757054696516,coefficient per training SD in target units,0.02048641894062355,0.007634760867354474,0.0203300011157989,0.006123799800872759,0.03792539961338037
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,yield_short,4.308703078078362e-05,coefficient per training SD in target units,0.010427809533243954,0.009937704174260851,0.0078500002622604,7.490000296384073e-05,0.040181099867820654
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,yield_10y_change,0.00021100216334794678,coefficient per training SD in target units,0.0001765666396135293,0.002206576885494714,0.00014499902725215,-0.005592800647020293,0.005274399113655002
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,term_spread,-0.0007784452804515463,coefficient per training SD in target units,0.01005337253856867,0.0063248496104921755,0.0116599994897842,-0.00437769999504086,0.0208309990525245
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,vix,0.0038438903022747803,coefficient per training SD in target units,0.19030824976535066,0.07209943667167527,0.17034999847412105,0.10072900285720815,0.42206400184631376
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,real_yield,-0.00028024491323590776,coefficient per training SD in target units,0.0010676547619047595,0.00688543570135378,0.0024000000000000002,-0.010919,0.015202000000000002
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,real_yield_change,-0.0002961632323852019,coefficient per training SD in target units,8.401190476191196e-05,0.0019387531737964615,-0.0002,-0.003989,0.006946000000000006
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,eurusd_return,0.0005570818263673355,coefficient per training SD in target units,-9.454481178536179e-05,0.01837770408463778,-0.0024587656129632,-0.04033612522105566,0.041964546056866184
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,dollar_return,-0.0005289923872616563,coefficient per training SD in target units,0.0008043144838331013,0.01749687660233485,0.002351639522654,-0.03844256085823946,0.03932731832233398
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,revenue_growth,-0.0014750001062612736,coefficient per training SD in target units,0.07962478827526116,0.16885283959326855,0.0295632804271972,-0.2579067074396899,0.3666398986252523
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,eps_growth,-0.0006192415118345278,coefficient per training SD in target units,0.3592289537217739,0.8634632264534623,0.1499999999999999,-0.8247422680412371,2.4000000000000004
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,eps_change_price,0.0010781138957880949,coefficient per training SD in target units,0.00025163628061890264,0.010054214588478874,0.00121711863448785,-0.018522327284464474,0.04030168359032338
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,loss_transition,0.0015937173441427461,coefficient per training SD in target units,0.16666666666666666,0.372677996249965,0.0,0.0,1.0
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,ebitda_growth,0.0005108978489709809,coefficient per training SD in target units,0.11562905168456653,0.38564765983673727,0.1048376989597694,-0.5319934144807429,1.3962528903733276
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,gross_margin,0.00044580938395960524,coefficient per training SD in target units,0.19128312636945435,0.01485295183783791,0.18787773017416284,0.1637654152008801,0.2259375311310479
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,operating_margin,0.0012646178797262669,coefficient per training SD in target units,0.03919523785141666,0.012961379075396873,0.0400442505479332,0.0069839170125327,0.0646186378602097
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,net_margin,0.0023430610634437195,coefficient per training SD in target units,0.027419492743449063,0.009633025406584016,0.026517463546965,0.010049611785366,0.0479755653880067
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,ebitda_margin,0.0010407335423807862,coefficient per training SD in target units,0.07495156382394624,0.011170242615188142,0.0776628155489325,0.0430163380300848,0.0979216389141657
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,roa,0.002557474368841333,coefficient per training SD in target units,0.03611354345525123,0.01121333410803722,0.03467786350715705,0.0149453595774421,0.0612942079635283
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,roe,0.0022702968142980064,coefficient per training SD in target units,0.05840622041429139,0.022430644186443263,0.05267777852970315,0.0231550850799235,0.1053347576794785
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,cfo_assets,0.00039124573126076063,coefficient per training SD in target units,0.09270606341196458,0.024306099080844752,0.0968607459082371,0.0362869456502698,0.1429765174759714
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,fcf_equipment_assets,0.0003794718333473187,coefficient per training SD in target units,0.048465222775614505,0.03311702566718752,0.0608140779992528,-0.0308608884026036,0.1063214179340862
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,cash_assets,0.0011812422709430426,coefficient per training SD in target units,0.055656886455422855,0.053384257122755116,0.0288673240532362,0.0089966960688133,0.2545739525288555
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,current_ratio,0.0003185338069334963,coefficient per training SD in target units,3.4034810105431754,0.448176687078032,3.479532663187832,2.004653732126251,4.212052432479986
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,quick_ratio,0.0012902418527939892,coefficient per training SD in target units,1.606476139554098,0.2954006693155145,1.510215704758803,1.1633257294556207,2.463222803005554
MTRN,2022-12-31,variance_ridge,,,,,,,,,,,,payout,-0.001519785461651713,coefficient per training SD in target units,0.3035160314049678,0.12928115825458164,0.2912198912198913,0.13288712046411583,0.691031350973714
